Matrix of distances (km) between accessions of the Ecuadorian collection of guarango;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Accesion;ECU-17733;ECU-17734;ECU-17735;ECU-17736;ECU-17737;ECU-17740;ECU-17741;ECU-17743;ECU-17744;ECU-17746;ECU-17747;ECU-17748;ECU-17749;ECU-17750;ECU-17751;ECU-17752;ECU-17753;ECU-17755;ECU-17756;ECU-17757;ECU-17758;ECU-17759;ECU-17761;ECU-17763;ECU-17764;ECU-17765;ECU-17766;ECU-17767;ECU-17768;ECU-17769;ECU-17770;ECU-17771;ECU-17772;ECU-17773;ECU-17774;ECU-17775;ECU-17776;ECU-17777;ECU-17778;;
ECU-17769;469.67;396.52;491.97;490.44;533.39;523.26;527.08;527.50;526.33;536.08;539.95;534.65;537.25;531.33;484.62;363.61;298.09;301.77;285.86;374.40;372.07;355.87;335.79;33.88;30.84;31.33;42.57;42.34;24.73;0.00;;;;;;;;;;;
ECU-17770;440.56;367.73;462.22;461.46;506.32;494.50;499.15;499.17;497.62;507.25;511.19;505.88;510.40;503.53;455.11;334.63;270.90;274.06;258.59;344.07;342.66;327.25;308.39;24.45;22.15;23.53;1.90;4.84;21.13;42.26;0.00;;;;;;;;;;
ECU-17771;5.38;68.43;27.89;26.13;77.38;59.24;66.23;64.80;62.40;71.82;75.82;70.52;82.50;71.00;20.01;101.23;167.55;163.43;179.54;92.16;92.93;109.04;130.21;431.40;434.95;434.13;436.80;439.32;455.06;464.84;435.58;0.00;;;;;;;;;
ECU-17772;183.28;112.48;203.94;204.23;252.28;237.35;243.39;242.67;240.51;249.90;253.92;248.62;256.83;247.99;197.15;80.24;44.70;41.42;42.14;85.95;86.61;74.75;64.80;257.22;260.53;259.85;260.27;262.67;279.21;291.06;259.16;178.11;0.00;;;;;;;;
ECU-17773;303.85;230.67;326.35;324.55;367.49;357.31;361.07;361.50;360.38;370.15;374.00;368.71;371.40;365.33;318.91;197.89;132.08;135.79;119.86;209.46;206.52;190.03;169.78;132.96;136.67;135.73;141.92;144.71;158.30;166.01;140.43;299.07;129.23;0.00;;;;;;;
ECU-17774;321.31;248.23;344.16;341.85;383.39;374.37;377.57;378.27;377.40;387.23;391.03;385.75;387.14;381.72;336.59;215.81;149.11;153.26;137.12;228.28;224.69;207.73;186.65;118.69;122.60;121.49;131.07;133.98;145.61;150.59;129.42;316.65;150.09;22.62;0.00;;;;;;
ECU-17775;307.19;234.06;329.93;327.80;369.91;360.42;363.85;364.44;363.47;373.27;377.10;371.81;373.73;368.04;322.40;201.49;135.06;139.05;122.97;213.67;210.29;193.49;172.70;131.03;134.85;133.82;141.65;144.50;157.20;163.55;140.08;302.49;135.01;9.42;15.12;0.00;;;;;
ECU-17776;169.72;96.60;192.53;190.35;233.62;223.04;226.85;227.22;226.10;235.88;239.72;234.43;237.67;231.14;184.96;64.33;3.80;2.01;14.51;78.37;73.44;56.13;35.66;267.09;270.73;269.84;274.07;276.71;291.60;300.29;272.74;165.03;42.27;134.29;151.63;137.47;0.00;;;;
ECU-17777;229.39;156.23;251.80;250.15;293.96;282.99;287.08;287.34;286.07;295.81;299.69;294.39;298.01;291.40;244.39;123.36;58.54;61.71;46.23;135.00;131.94;115.58;96.01;206.95;210.55;209.68;213.74;216.39;231.27;240.29;212.40;224.57;59.22;74.58;93.45;78.71;60.35;0.00;;;
ECU-17778;197.73;124.69;220.65;218.28;260.73;250.86;254.36;254.89;253.90;263.71;267.53;262.25;264.67;258.59;213.04;92.53;25.54;29.95;13.84;106.29;101.64;84.31;63.13;239.72;243.41;242.48;247.50;250.18;264.65;272.74;246.11;193.08;48.84;106.77;123.58;109.57;28.20;34.47;0.00;;
